year,age group,population
1970,overall,10881.8
1970,0-4,1702.4
1970,5-Sep,1690.3
1970,Oct-14,1454.7
1970,15-19,1197.6
1970,20-24,921.6
1970,25-29,692.5
1970,30-34,659.1
1970,35-39,521.7
1970,40-44,457.8
1970,45-49,382.1
1970,50-54,336.7
1970,55-59,273.7
1970,60-64,234.7
1970,65-69,145.8
1970,70+,211.1
1971,overall,11159.7
1971,0-4,1725.9
1971,5-Sep,1689.8
1971,Oct-14,1491.3
1971,15-19,1238.7
1971,20-24,970.7
1971,25-29,734.2
1971,30-34,666.2
1971,35-39,545.4
1971,40-44,468.5
1971,45-49,393.8
1971,50-54,342.1
1971,55-59,280.6
1971,60-64,236.1
1971,65-69,155.1
1971,70+,221.2
1972,overall,11441.3
1972,0-4,1758
1972,5-Sep,1688.4
1972,Oct-14,1528.7
1972,15-19,1279.5
1972,20-24,1019.3
1972,25-29,777.5
1972,30-34,673
1972,35-39,570.3
1972,40-44,478.8
1972,45-49,405.9
1972,50-54,347.2
1972,55-59,287.9
1972,60-64,237.4
1972,65-69,164.8
1972,70+,224.5
1973,overall,11719.8
1973,0-4,1786.9
1973,5-Sep,1686.2
1973,Oct-14,1564.4
1973,15-19,1319.9
1973,20-24,1066.1
1973,25-29,822.2
1973,30-34,679.3
1973,35-39,596.2
1973,40-44,488.3
1973,45-49,418.4
1973,50-54,351.7
1973,55-59,295.5
1973,60-64,238.3
1973,65-69,174.7
1973,70+,231.6
1974,overall,12001.3
1974,0-4,1816.2
1974,5-Sep,1686.4
1974,Oct-14,1597.8
1974,15-19,1361.1
1974,20-24,1110.9
1974,25-29,868.8
1974,30-34,685.7
1974,35-39,623.4
1974,40-44,497.1
1974,45-49,431.5
1974,50-54,355.7
1974,55-59,303.6
1974,60-64,239.1
1974,65-69,185.1
1974,70+,238.9
1975,overall,12300.3
1975,0-4,1846.3
1975,5-Sep,1693.9
1975,Oct-14,1630.3
1975,15-19,1403.7
1975,20-24,1154.9
1975,25-29,918.5
1975,30-34,692.9
1975,35-39,652.9
1975,40-44,505.8
1975,45-49,445.9
1975,50-54,359.8
1975,55-59,312.3
1975,60-64,240.1
1975,65-69,196.4
1975,70+,246.5
1976,overall,12588.1
1976,0-4,1871.2
1976,5-Sep,1723.1
1976,Oct-14,1634.7
1976,15-19,1438.5
1976,20-24,1193
1976,25-29,959.8
1976,30-34,733.2
1976,35-39,660
1976,40-44,529.9
1976,45-49,454.5
1976,50-54,371.6
1976,55-59,316.2
1976,60-64,246.4
1976,65-69,196.5
1976,70+,259.2
1977,overall,12901.1
1977,0-4,1901.2
1977,5-Sep,1756.6
1977,Oct-14,1644.5
1977,15-19,1476.3
1977,20-24,1233.4
1977,25-29,1001.7
1977,30-34,776.4
1977,35-39,668.5
1977,40-44,556.6
1977,45-49,463.6
1977,50-54,385
1977,55-59,320.6
1977,60-64,253.8
1977,65-69,197.1
1977,70+,265.9
1978,overall,13200.2
1978,0-4,1919.9
1978,5-Sep,1788.8
1978,Oct-14,1656.4
1978,15-19,1510.8
1978,20-24,1272.2
1978,25-29,1040.7
1978,30-34,820.9
1978,35-39,676.3
1978,40-44,584.2
1978,45-49,471.7
1978,50-54,398.7
1978,55-59,324.3
1978,60-64,261.4
1978,65-69,197.4
1978,70+,276.5
1979,overall,13518.3
1979,0-4,1935.7
1979,5-Sep,1823.4
1979,Oct-14,1676.6
1979,15-19,1544.3
1979,20-24,1313.1
1979,25-29,1078.9
1979,30-34,868.4
1979,35-39,685.3
1979,40-44,614.3
1979,45-49,480.1
1979,50-54,413.8
