Items,Sub Item Level 1,Sub Item Level 2,Year,Value
Transactions during period (RM million),Amount contributed,Amount withdrawn,2000,9991
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2000,6856
End of period,Number of contributors' accounts,n.a.,2000,9965947
End of period,Amount standing to credit of contributors (RM million),n.a.,2000,180764
Investments (at book value) (RM million),Federal Government securities,n.a.,2000,61766
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2000,117281
Investments (at book value) (RM million),Foreign Securities,n.a.,2000,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2001,21968
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2001,-3796
End of period,Number of contributors' accounts,n.a.,2001,10177355
End of period,Amount standing to credit of contributors (RM million),n.a.,2001,185167
Investments (at book value) (RM million),Federal Government securities,n.a.,2001,68339
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2001,116229
Investments (at book value) (RM million),Foreign Securities,n.a.,2001,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2002,12727
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2002,7329
End of period,Number of contributors' accounts,n.a.,2002,10225511
End of period,Amount standing to credit of contributors (RM million),n.a.,2002,200622
Investments (at book value) (RM million),Federal Government securities,n.a.,2002,72980
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2002,126411
Investments (at book value) (RM million),Foreign Securities,n.a.,2002,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2003,11501
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2003,8642
End of period,Number of contributors' accounts,n.a.,2003,10423147
End of period,Amount standing to credit of contributors (RM million),n.a.,2003,218725
Investments (at book value) (RM million),Federal Government securities,n.a.,2003,84678
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2003,132373
Investments (at book value) (RM million),Foreign Securities,n.a.,2003,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2004,13403
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2004,8457
End of period,Number of contributors' accounts,n.a.,2004,10716205
End of period,Amount standing to credit of contributors (RM million),n.a.,2004,238860
Investments (at book value) (RM million),Federal Government securities,n.a.,2004,92538
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2004,144568
Investments (at book value) (RM million),Foreign Securities,n.a.,2004,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2005,13432
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2005,10935
End of period,Number of contributors' accounts,n.a.,2005,11089523
End of period,Amount standing to credit of contributors (RM million),n.a.,2005,262725
Investments (at book value) (RM million),Federal Government securities,n.a.,2005,97768
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2005,162117
Investments (at book value) (RM million),Foreign Securities,n.a.,2005,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2006,15051
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2006,12902
End of period,Number of contributors' accounts,n.a.,2006,11393848
End of period,Amount standing to credit of contributors (RM million),n.a.,2006,289060
Investments (at book value) (RM million),Federal Government securities,n.a.,2006,102579.63
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2006,183339.42
Investments (at book value) (RM million),Foreign Securities,n.a.,2006,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2007,21308
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2007,10661
End of period,Number of contributors' accounts,n.a.,2007,11690186
End of period,Amount standing to credit of contributors (RM million),n.a.,2007,316504
Investments (at book value) (RM million),Federal Government securities,n.a.,2007,112932.06
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2007,200081.32
Investments (at book value) (RM million),Foreign Securities,n.a.,2007,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2008,21741
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2008,12802
End of period,Number of contributors' accounts,n.a.,2008,12073055
End of period,Amount standing to credit of contributors (RM million),n.a.,2008,344640
Investments (at book value) (RM million),Federal Government securities,n.a.,2008,110642.17
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2008,231371.87
Investments (at book value) (RM million),Foreign Securities,n.a.,2008,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2009,24711
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2009,8757
End of period,Number of contributors' accounts,n.a.,2009,12351415
End of period,Amount standing to credit of contributors (RM million),n.a.,2009,374543
Investments (at book value) (RM million),Federal Government securities,n.a.,2009,114142
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2009,261546
Investments (at book value) (RM million),Foreign Securities,n.a.,2009,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2010,26410
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2010,9346
End of period,Number of contributors' accounts,n.a.,2010,12721780
End of period,Amount standing to credit of contributors (RM million),n.a.,2010,444959
Investments (at book value) (RM million),Federal Government securities,n.a.,2010,118582
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2010,288176
Investments (at book value) (RM million),Foreign Securities,n.a.,2010,-
Transactions during period (RM million),Amount contributed,Amount withdrawn,2011,30019
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2011,13899
End of period,Number of contributors' accounts,n.a.,2011,13149654
End of period,Amount standing to credit of contributors (RM million),n.a.,2011,476526
Investments (at book value) (RM million),Federal Government securities,n.a.,2011,88201
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2011,352069
Investments (at book value) (RM million),Foreign Securities,n.a.,2011,2388
Transactions during period (RM million),Amount contributed,Amount withdrawn,2012,33103
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2012,15878
End of period,Number of contributors' accounts,n.a.,2012,13585007
End of period,Amount standing to credit of contributors (RM million),n.a.,2012,532274
Investments (at book value) (RM million),Federal Government securities,n.a.,2012,84132
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2012,395841
Investments (at book value) (RM million),Foreign Securities,n.a.,2012,6418
Transactions during period (RM million),Amount contributed,Amount withdrawn,2013,35468
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2013,18150
End of period,Number of contributors' accounts,n.a.,2013,13922194
End of period,Amount standing to credit of contributors (RM million),n.a.,2013,593451
Investments (at book value) (RM million),Federal Government securities,n.a.,2013,86827
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2013,443020
Investments (at book value) (RM million),Foreign Securities,n.a.,2013,8133
Transactions during period (RM million),Amount contributed,Amount withdrawn,2014,33782
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2014,23396
End of period,Number of contributors' accounts,n.a.,2014,14192832
End of period,Amount standing to credit of contributors (RM million),n.a.,2014,640207
Investments (at book value) (RM million),Federal Government securities,n.a.,2014,85998
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2014,501517
Investments (at book value) (RM million),Foreign Securities,n.a.,2014,10862
Transactions during period (RM million),Amount contributed,Amount withdrawn,2015,44248
Transactions during period (RM million),Amount contributed,Excess of contributions over withdrawals,2015,15669
End of period,Number of contributors' accounts,n.a.,2015,14550355
End of period,Amount standing to credit of contributors (RM million),n.a.,2015,688295
Investments (at book value) (RM million),Federal Government securities,n.a.,2015,88114
Investments (at book value) (RM million),Other Malaysian investments,n.a.,2015,545638
Investments (at book value) (RM million),Foreign Securities,n.a.,2015,14333
