"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","165.942","163.605","158.801","154.622","149.818","146.088","141.795","139.151","135.949","133.097","130.36","127.679","120.982","114.363","110.801","107.4","106.502","105.742","105.056","104.093","103.581","99.256","98.383","97.46","96.518","95.683","95.084","91.417","90.862","90.567","90.328","90.023","89.63","89.134","88.608","88.083","87.653","87.246","86.736","89.027","88.188","87.262","86.431","85.752","85.962","84.799","83.589","82.112","80.554","78.153","70.056","68.648","66.917","66.304","64.901","64.764","64.298","63.978","60.625","59.787","62.616","85.706","60.053","59.277","",
"Africa Eastern and Southern","AFE","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","376.200141087243","373.12180389524","369.60525410133","365.67327927499","361.295111766076","358.956573747885","359.484521255581","352.662443037574","349.043914600135","346.88494869858","343.821751763738","341.23413060018","347.746112803087","340.251187326213","337.663712921642","336.77797821957","329.97059558136","326.395541252453","323.398451689494","319.876259058385","314.752945309216","312.590106931602","310.626619639453","325.324124155006","326.126273244487","324.682667156277","321.64755391288","317.980169358155","321.186679105952","321.637250955158","328.90484136077","336.241242942344","344.959753729769","347.048124087691","352.339267108974","351.190412562687","359.21913571795","362.376427626993","369.950483759901","367.52079641279","367.082516583274","368.570616855266","368.400312097528","366.85007024113","362.912789071786","357.101647790152","347.320638432504","336.440660254823","324.377354713407","312.486880556498","299.935638722888","291.041407772922","276.251695757953","265.731034777391","257.222693484463","249.530602866816","241.803244388829","234.463523589668","224.683056807704","217.181340201164","215.82897075998","235.202176511881","206.251098187969","196.965042009282","",
"Afghanistan","AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","546.966","540.793","535.214","529.777","523.973","518.31","512.486","506.817","501.655","495.93","489.868","484.026","477.871","471.677","465.663","459.973","454.325","448.347","455.818","465.895","460.395","457.458","490.115","483.098","538.062","529.304","459.252","453.612","409.444","396.62","390.157","384.266","370.928","338.063","330.926","324.083","315.967","312.924","320.852","299.431","293.378","287.685","284.743","272.589","266.296","261.04","255.842","249.208","242.417","238.015","232.873","227.039","221.981","217.098","215.039","213.685","208.853","201.809","198.86","196.012","221.302","239.896","181.84","178.756","",
"Africa Western and Central","AFW","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","418.602976955821","415.978487411493","412.734194516437","410.461986474584","407.986413766615","404.985818868483","403.120880624026","404.706345757167","396.822433598811","395.244737038048","390.481544358401","386.313642418826","378.794240191034","373.834560742896","368.462626976299","363.212762332341","359.514917189575","353.83220780991","349.233599545938","345.267320655013","342.080192342858","338.520228716043","335.836757234616","334.36520796781","333.527029085976","333.646127869492","335.615346019216","335.41312851877","334.927222279833","335.018971308766","337.275875179019","339.543830707478","338.970415179881","337.229425259165","339.947280233141","341.609292473973","345.194820619672","347.948721492724","351.87763073283","350.777047118704","348.751960485007","349.332051748141","348.440457705191","345.97211166019","341.904790623294","337.013206472827","333.960454948784","328.836841537974","325.252108365061","325.978522440322","318.399868243769","315.381945264802","312.238871236845","309.106478496055","307.336576053948","304.9465642633","301.257810798084","298.193957119754","293.755215579209","292.130371035132","290.327618487755","299.136746146926","283.749233550624","273.230660202776","",
"Angola","AGO","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","412.026","415.893","412.875","411.307","409.804","408.36","405.346","403.254","399.718","397.698","394.187","392.107","388.509","386.349","382.83","388.95","390.344","386.626","384.162","381.855","379.585","377.344","375.148","384.045","382.223","380.444","378.701","400.405","393.819","391.829","390.952","371.624","388.712","378.846","365.686","355.38","353.366","351.406","361.678","353.729","352.037","345.851","343.889","324.731","317.443","309.176","304.396","292.601","282.153","274.574","263.504","253.571","244.237","235.948","229.149","222.12","216.301","211.516","205.85","201.372","199.029","213.749","188.629","184.253","",
"Albania","ALB","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","136.875","130.79","126.568","123.205","121.29","120.039","117.832","115.511","112.673","110.294","108.179","106.157","103.793","101.35","98.783","96.101","93.273","90.178","87.311","85.846","83.793","82.119","79.877","77.442","75.152","73.35","70.342","68.893","68.615","69.029","69.156","68.473","67.28","65.734","64.702","63.183","62.915","68.048","63.179","63.089","63.313","63.266","63.585","63.434","62.409","60.478","57.635","54.595","52.132","51.201","52.225","53.731","55.665","56.799","56.726","54.809","52.774","50.802","48.859","47.96","51.494","62.678","52.443","48.275","",
"Andorra","AND","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","97.759","91.64","86.066","81.775","77.759","75.092","73.395","72.866","72.692","72.797","72.145","71.256","69.283","67.189","64.927","62.726","60.096","57.689","55.042","52.541","50.192","48.345","46.762","45.524","44.401","43.508","42.426","41.463","40.657","40.06","39.298","38.885","38.207","37.177","35.942","34.98","34.004","33.107","32.45","31.577","31.451","31.162","31.315","31.376","31.956","30.72","29.411","27.899","26.696","25.524","25.258","25.23","25.312","25.374","25.466","25.62","26.042","26.583","27.058","27.419","51.602","32.326","27.518","27.394","",
"Arab World","ARB","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","312.87646923835","304.973008090935","302.344936435568","295.84146483054","291.580970847507","287.32317309869","283.640040062103","280.133572361796","276.168546800531","272.069312105683","268.018845357587","263.400640956395","258.979830480763","255.117329259147","251.016626909338","247.17120067016","247.277431316394","237.604425394618","233.71452332599","229.146697061597","223.692202248824","218.678573257978","218.999957587436","214.407166347442","210.983766177986","207.399313134799","200.737856088406","196.522483388577","195.823165410088","191.948590202255","187.320292766845","188.409714602866","182.530489081671","173.553799534081","170.954244890653","168.198222069389","165.830218041935","163.349565696456","160.792079245483","158.340704546665","155.277748103207","151.675369557033","148.148126683885","146.661553136673","145.356434944469","142.876400143103","138.774749882758","135.746042307386","133.253795263507","129.925332767915","128.468112722299","130.877365598397","125.598043736653","122.054837652664","118.759240545476","116.699815302042","114.010725914287","112.391779831748","109.818472534217","106.766027761557","114.263221272229","124.391513073378","107.200952812746","102.769722892894","",
"United Arab Emirates","ARE","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","246.868","241.119","234.854","228.179","221.193","213.993","206.675","199.365","192.192","185.267","178.683","172.517","166.806","161.555","156.765","152.435","148.564","145.131","142.068","139.306","136.784","134.444","132.246","130.213","128.394","126.835","125.579","124.672","124.19","124.238","124.928","126.38","128.73","131.679","133.797","133.415","128.959","119.324","104.65","87.802","71.684","57.964","47.268","39.564","34.232","30.548","28.035","26.385","25.392","24.886","24.675","24.575","24.419","24.035","23.307","22.34","21.293","20.302","19.474","18.895","21.295","25.244","24.329","18.473","",
"Argentina","ARG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","156.683","152.687","152.33","149.213","150.934","148.152","146.109","142.466","144.554","148.853","145.19","143.606","141.501","139.758","140.273","135.397","134.879","132.233","133.415","127.174","126.711","127.144","123.352","122.552","121.068","118.958","115.979","112.982","110.072","107.132","109.945","107.596","106.381","104.332","104.299","102.954","101.617","100.511","98.953","97.844","96.592","95.668","93.468","94.855","90.606","87.198","90.282","93.691","91.105","94.267","88.861","83.781","90.617","90.083","86.625","81.387","85.937","84.87","84.603","84.846","90.386","116.431","89.706","82.434","",
