"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","292.373","293.03","290.848","289.051","287.185","285.518","277.235","276.179","272.024","267.693","263.522","259.345","252.936","247.47","241.806","240.128","236.372","232.135","228.526","224.511","218.829","208.688","207.047","205.432","204.208","203.153","202.703","189.297","187.351","186.757","186.223","185.653","183.51","182.088","181.867","181.237","181.003","180.068","179.73","178.851","177.639","176.119","174.307","172.183","171.848","167.526","166.301","163.521","161.095","158.457","160.929","155.019","150.283","144.893","141.756","137.81","134.527","132.157","130.119","126.903","134.254","159.045","118.505","116.237","",
"Africa Eastern and Southern","AFE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","451.65170694534","452.824605147772","447.686182919358","446.951895673288","444.122447156241","442.979263735038","440.174700936744","434.500127691164","431.034261155145","428.893909507613","426.169471499498","424.399411052464","431.230845771452","419.88696949243","418.125831344555","415.430892741662","412.633958056524","410.701871956009","413.986498932338","407.48618806219","402.734633404567","401.860530378421","401.638055039329","417.872195511977","424.228036950528","419.864959180261","415.34225214812","406.460039256893","408.892586628027","409.740885745594","416.870542582006","416.628832274078","421.14858689108","422.903014094509","422.214320990894","418.565805192623","427.252085076234","426.620243108314","441.513508621774","440.351272046234","422.795609434229","422.793459169408","423.358025030168","419.302895721377","415.877837197887","409.855407154247","399.041384457627","391.146678812442","383.578220460073","373.071553178183","363.036685748186","357.898089136493","345.324783619827","338.644122686926","335.166221371187","329.501632484234","324.589008816724","318.596070447426","309.267565659061","301.917613488271","303.991743739351","327.09372436211","296.227070681103","286.060706514122","",
"Afghanistan","AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","598.481","592.058","586.214","580.702","575.003","569.683","564.221","558.762","552.68","547.083","541.491","536.033","530.11","523.513","517.05","510.516","504.022","496.942","538.676","584.155","582.211","587.858","682.677","680.434","798.712","791.742","660.783","658.988","557.969","534.871","528.528","529.557","525.207","400.507","434.56","398.636","388.713","381.171","409.242","361.413","359.824","354.541","334.545","324.327","315.266","312.852","317.457","322.159","308.469","295.661","291.206","285.304","279.795","274.813","277.937","283.387","280.475","322.115","330.952","315.945","344.792","388.257","233.392","224.241","",
"Africa Western and Central","AFW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","496.871439567111","494.82239143693","475.575183781931","474.420286109455","473.112602622142","470.389689422765","470.412989678383","488.271747426037","477.150226387104","474.864009046915","454.287498533767","448.781763420855","442.319463529036","437.49648191724","431.804218698397","427.734747927621","418.633690164111","412.312692281053","408.431059003301","405.430667403688","403.752351586942","400.740474091839","398.574842351896","396.582133617307","395.772047451957","394.432045063892","393.821403785251","395.09989097882","389.631148206468","388.91197009706","394.309645895421","392.61308785126","391.852768082718","391.756921152747","395.115518642002","394.055748718795","394.798475134919","396.639899895425","393.779997949443","390.691293531858","384.380664291706","380.289188679818","376.059432286419","372.363521736004","367.10935090664","365.876262271455","363.451229252619","359.051525882307","355.067516251375","359.278545576821","351.308008667332","347.523019257812","344.568347846656","343.465783441847","343.784066419107","339.593407910839","335.096762224717","333.887280543414","329.381800556962","329.888601038704","331.353985381267","339.674369386758","324.289869759548","313.126210302528","",
"Angola","AGO","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","475.867","549.935","550.412","550.947","550.149","550.791","551.488","548.153","546.195","542.71","540.292","535.934","532.227","526.676","522.603","541.127","547.024","541.164","536.399","531.813","527.296","522.894","518.611","546.187","542.003","538.005","534.139","585.73","569.139","565.062","562.008","511.21","546.007","590.18","557.381","438.457","433.886","431.997","476.406","495.854","466.917","477.543","449.934","399.261","390.405","379.203","370.681","357.591","348.072","341.122","332.529","328.921","325.282","319.374","313.312","307.183","301.441","296.81","291.681","287.423","290.013","303.165","275.098","271.059","",
"Albania","ALB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","195.652","191.711","188.755","185.763","183.453","181.324","178.959","176.661","174.292","171.816","169.266","166.186","163.013","160.024","157.449","154.775","151.671","148.483","145.268","143.711","141.764","140.419","138.297","136.189","134.243","131.789","128.849","127.165","127.881","128.774","130.071","129.876","129.266","127.227","128.919","131.06","135.159","154.963","138.104","135.356","130.704","126.05","123.711","122.223","118.888","115.32","110.595","105.593","102.402","101.917","104.61","107.27","110.97","112.729","112.689","108.939","105.184","100.915","98.063","94.919","114.038","120.33","106.504","96.552","",
"Andorra","AND","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","167.044","162.705","159.16","156.779","153.612","150.944","148.463","146.477","144.053","141.833","138.788","135.92","132.526","129.672","126.862","124.358","121.133","118.003","114.501","111","107.699","104.992","102.728","101.141","99.994","99.29","98.514","97.923","95.92","93.449","88.246","83.058","77.165","72.615","68.511","67.47","66.075","65.43","64.706","62.677","59.185","56.303","53.153","50.257","48.729","47.274","45.784","44.808","43.873","42.838","42.302","42.038","41.599","41.133","40.449","39.998","40.059","40.611","41.141","42.064","103.161","52.295","42.596","42.502","",
"Arab World","ARB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","414.117946155087","408.716368818535","407.9657096283","387.578292923609","381.623378660758","378.32024002589","375.317320265421","374.439986327179","367.084269056022","364.812572523475","359.495624687824","351.7118500433","347.022525774692","351.185801300061","342.999218539721","343.821957550517","338.621901297521","322.849021241276","318.366113144746","312.486277186707","316.621743116724","317.70253283047","320.566886058285","307.993290518863","300.433464424856","294.195888901788","289.223942011047","277.215187225293","282.520562952816","270.805119762152","265.768670940357","258.864183635453","246.202942700678","237.786520915922","238.052123567922","234.072060718992","229.919183992467","225.827071472844","222.448737612305","217.185278879771","213.653177183219","209.839092434072","206.330576553599","209.542691827363","211.729133191103","208.494142047905","204.32128776628","198.862738595477","191.555570106291","183.271380004429","181.290288425315","185.343164522281","184.681153383514","180.740738675417","174.973034762237","174.965647062469","173.614270242729","167.683247642777","162.561556976004","156.292734970253","169.539614147911","175.103557640939","155.079281613053","149.20317322342","",
"United Arab Emirates","ARE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","383.169","374.258","365.85","357.53","348.914","339.646","329.467","318.587","307.413","296.312","285.609","275.582","266.314","257.707","249.664","242.098","234.932","228.136","221.793","215.987","210.794","206.279","202.473","199.196","196.194","193.229","190.078","186.551","182.867","179.614","177.354","176.631","178.001","181.325","184.669","185.726","182.195","172.154","155.1","134.308","113.525","95.202","80.556","69.934","62.631","57.585","54.061","51.533","49.6","48.008","46.692","45.587","44.668","43.882","43.187","42.54","41.909","41.26","40.565","39.807","52.925","48.364","49.012","36.55","",
"Argentina","ARG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","260.783","253.947","258.707","256.268","260.101","258.634","253.667","256.496","266.077","273.453","264.388","262.022","259.661","260.35","264.214","256.994","259.991","255.918","245.842","235.805","231.914","236.518","235.779","231.842","229.019","224.139","219.095","213.604","208.615","203.725","197.468","195.844","198.356","191.089","188.486","186.042","188.86","185.569","183.181","179.405","176.022","174.468","174.56","170.033","161.164","158.217","157.634","162.191","158.909","157.021","151.509","150.593","150.709","149.82","145.574","142.693","146.239","135.684","135.063","130.712","143.598","181.32","136.818","123.699","",
