"ID","Age_Retired","Last_Salary","Retirement_Savings","Monthly_Benefit","Replacement_Rate"
3647,68,6157,23559.17,132.22,"2.1%"
3648,65,2326,12065.58,67.71,"2.9%"
3650,64,2840,12510.81,70.21,"2.5%"
3651,68,7737,29656.77,166.44,"2.2%"
3652,67,12174,43681.75,245.14,"2.0%"
3653,67,7582,26448.46,148.43,"2.0%"
3654,64,4594,18923.72,106.2,"2.3%"
3655,68,2829,9698.41,54.43,"1.9%"
3656,67,2399,11897.22,66.77,"2.8%"
3657,67,7658,27529.26,154.5,"2.0%"
3658,67,3077,12015.43,67.43,"2.2%"
3660,68,2711,11724.95,65.8,"2.4%"
3661,63,6941,24908.93,139.79,"2.0%"
3662,61,3022,12035.88,67.55,"2.2%"
3663,68,5768,20960.77,117.63,"2.0%"
3665,68,4165,14842.12,83.29,"2.0%"
3668,62,5378,21581.76,121.12,"2.3%"
3669,64,2781,9649.83,54.16,"1.9%"
3670,64,5861,21647.47,121.49,"2.1%"
3671,65,3314,13663.49,76.68,"2.3%"
3672,66,14610,53203.3,298.58,"2.0%"
3674,64,2776,10691.57,60,"2.2%"
3675,62,4004,17889.12,100.39,"2.5%"
3676,66,1802,11067.53,62.11,"3.4%"
3677,60,5127,20745.87,116.43,"2.3%"
3678,61,5740,23881.45,134.02,"2.3%"
3679,65,1633,9152.88,51.37,"3.1%"
3681,68,1983,7470.2,41.92,"2.1%"
3682,64,3980,15313.11,85.94,"2.2%"
3683,63,3468,14264.28,80.05,"2.3%"
3684,61,3605,15876.25,89.1,"2.5%"
3685,68,7925,28476.01,159.81,"2.0%"
3686,65,2557,13561.92,76.11,"3.0%"
3687,65,5688,22830.83,128.13,"2.3%"
3688,64,3843,15894.07,89.2,"2.3%"
3689,64,1950,11481.94,64.44,"3.3%"
3690,65,3144,12765.26,71.64,"2.3%"
3691,68,2634,8744.28,49.07,"1.9%"
3692,61,13952,46755.01,262.39,"1.9%"
3693,64,2192,7625.26,42.79,"2.0%"
3695,67,9620,36715.62,206.05,"2.1%"
3697,63,3605,12888.33,72.33,"2.0%"
3698,63,6066,22966.43,128.89,"2.1%"
3699,63,2290,9507.51,53.36,"2.3%"
3700,65,1711,6676.37,37.47,"2.2%"
3701,62,5724,21736.24,121.99,"2.1%"
