"ID","Sex","Age","Salary"
1,"Female",17,1837
2,"Female",15,1137
3,"Female",15,4197
4,"Female",15,1816
5,"Female",19,1677
6,"Female",18,1750
7,"Female",15,3094
8,"Female",19,1319
9,"Female",18,1151
10,"Female",15,798
11,"Female",15,1206
12,"Female",15,2141
13,"Female",18,827
14,"Female",16,1991
15,"Female",17,3760
16,"Female",19,1007
17,"Female",19,836
18,"Female",18,713
19,"Female",15,2427
20,"Female",17,1674
21,"Female",18,1458
22,"Female",19,1277
23,"Female",16,1138
24,"Female",15,1714
25,"Female",15,2376
26,"Female",15,813
27,"Female",17,3692
28,"Female",16,950
29,"Female",19,788
30,"Female",18,2593
31,"Female",18,1560
32,"Female",19,1848
33,"Female",15,1054
34,"Female",18,2023
35,"Female",15,1496
36,"Female",15,3729
37,"Female",19,2917
38,"Female",17,1613
39,"Female",15,764
40,"Female",16,612
41,"Female",18,1538
42,"Female",16,1785
43,"Female",19,1368
44,"Female",19,2706
45,"Female",17,835
46,"Female",19,4213
47,"Female",16,1113
48,"Female",15,784
49,"Female",15,1312
50,"Female",15,868
51,"Female",17,1675
52,"Female",18,1072
53,"Female",16,2025
54,"Female",16,908
55,"Female",16,921
56,"Female",16,1103
57,"Female",18,2211
58,"Female",18,1381
59,"Female",19,726
60,"Female",15,848
61,"Female",17,1481
62,"Female",19,4166
63,"Female",18,2345
64,"Female",16,1596
65,"Female",16,756
66,"Female",15,1452
67,"Female",17,1236
68,"Female",18,1934
69,"Female",16,1540
70,"Female",15,1541
71,"Female",16,1601
72,"Female",17,1418
73,"Female",15,783
74,"Female",22,1850
75,"Female",21,5513
76,"Female",21,11483
77,"Female",22,4782
78,"Female",27,1489
79,"Female",28,4719
80,"Female",20,2532
81,"Female",20,2481
82,"Female",26,2916
83,"Female",20,1870
84,"Female",24,1316
85,"Female",27,1097
86,"Female",29,2881
87,"Female",27,1877
88,"Female",29,943
89,"Female",20,1590
90,"Female",29,3005
91,"Female",26,1265
92,"Female",21,5780
93,"Female",25,2918
94,"Female",28,3907
95,"Female",22,1975
96,"Female",24,3814
97,"Female",20,3126
98,"Female",20,1407
99,"Female",24,1698
100,"Female",26,2876
101,"Female",22,7006
102,"Female",28,679
103,"Female",20,9108
104,"Female",25,2498
105,"Female",21,5293
106,"Female",24,2035
107,"Female",23,2379
108,"Female",25,2493
109,"Female",22,3456
110,"Female",28,1959
111,"Female",23,1241
112,"Female",21,1197
113,"Female",21,1285
114,"Female",27,2648
115,"Female",29,2001
116,"Female",20,2533
